"FEATURE_ID","FEATURE_NAME","FEATURE_CLASS","STATE_ALPHA","STATE_NUMERIC","COUNTY_NAME","COUNTY_NUMERIC","PRIMARY_LAT_DMS","PRIM_LONG_DMS","PRIM_LAT_DEC","PRIM_LONG_DEC","SOURCE_LAT_DMS","SOURCE_LONG_DMS","SOURCE_LAT_DEC","SOURCE_LONG_DEC","ELEV_IN_M","ELEV_IN_FT","MAP_NAME","DATE_CREATED","DATE_EDITED","Town","Address"
988500,"Lincoln School","School","NC",37,"Orange",135,"355413N","0790406W",35.9034774,-79.0683448,NA,NA,NA,NA,131,430,"Chapel Hill","6/17/1980","","Chapel Hill","140 Lincoln Ln, Chapel Hill, NC 27516, USA"
988502,"Lincolnville Church","Church","NC",37,"Wake",183,"354735N","0784404W",35.7929292,-78.7344494,NA,NA,NA,NA,148,486,"Raleigh West","6/17/1980","","Raleigh","900 Nowell Rd, Raleigh, NC 27607, USA"
988503,"Lindell","Populated Place","NC",37,"Greene",79,"353258N","0774845W",35.5493266,-77.8124803,NA,NA,NA,NA,34,112,"Stantonsburg","6/17/1980","","Stantonsburg","7395 Lindell Rd, Stantonsburg, NC 27883, USA"
988504,"Linden Chapel","Church","NC",37,"Harnett",85,"351702N","0784847W",35.283773,-78.8130785,NA,NA,NA,NA,51,167,"Bunnlevel","6/17/1980","","Erwin","2685 Wire Rd, Erwin, NC 28339, USA"
988520,"Lipscomb Grove Church","Church","NC",37,"Orange",135,"360737N","0785932W",36.1268083,-78.9922318,NA,NA,NA,NA,192,630,"Rougemont","6/17/1980","","Hillsborough","600-724 Lipscomb Grove Church Rd, Hillsborough, NC 27278, USA"
988615,"Little Creek Church","Church","NC",37,"Johnston",101,"353424N","0782604W",35.5732137,-78.4344477,NA,NA,NA,NA,74,243,"Powhatan","6/17/1980","","Clayton","2505 Little Creek Church Rd, Clayton, NC 27520, USA"
988629,"Little Easonburg","Populated Place","NC",37,"Nash",127,"355758N","0775216W",35.9659874,-77.8710926,NA,NA,NA,NA,44,144,"Rocky Mount","6/17/1980","","Rocky Mount","121 Halifax Rd, Rocky Mount, NC 27804, USA"
988689,"Little Kelly","Populated Place","NC",37,"Pender",141,"342752N","0775707W",34.4643337,-77.9519336,NA,NA,NA,NA,16,52,"Rocky Point","6/17/1980","","Rocky Point","2566 Little Kelly Rd, Rocky Point, NC 28457, USA"
988755,"Little River Church","Church","NC",37,"Orange",135,"361101N","0790216W",36.1834739,-79.0377888,NA,NA,NA,NA,194,636,"Caldwell","6/17/1980","","Hurdle Mills","4211 Little River Church Rd, Hurdle Mills, NC 27541, USA"
988758,"Little River School","School","NC",37,"Durham",63,"360844N","0785424W",36.1454205,-78.9066744,NA,NA,NA,NA,133,436,"Rougemont","6/17/1980","","Bahama","8307 N Roxboro Rd, Bahama, NC 27503, USA"
988759,"Little Rock Church","Church","NC",37,"Wayne",191,"352752N","0780303W",35.4643277,-78.0508229,NA,NA,NA,NA,42,138,"Northwest Goldsboro","6/17/1980","","Pikeville","268-398 Gurley Dairy Rd, Pikeville, NC 27863, USA"
988805,"Little Zion Church","Church","NC",37,"Onslow",133,"343326N","0772353W",34.5571098,-77.3980172,NA,NA,NA,NA,10,33,"Sneads Ferry","6/17/1980","","Sneads Ferry","120 Zion Ln, Sneads Ferry, NC 28460, USA"
988807,"Little Zion Church","Church","NC",37,"Franklin",69,"360021N","0782454W",36.0057071,-78.414998,NA,NA,NA,NA,123,404,"Franklinton","6/17/1980","","Youngsville","608 Moores Pond Rd, Youngsville, NC 27596, USA"
988808,"Little Zion Church","Church","NC",37,"Halifax",83,"361750N","0773252W",36.297098,-77.547752,NA,NA,NA,NA,21,69,"Halifax","6/17/1980","","Halifax","12345-12891 NC-561, Halifax, NC 27839, USA"
988811,"Littleton","Populated Place","NC",37,"Halifax",83,"362605N","0775443W",36.4345934,-77.9119317,NA,NA,NA,NA,118,387,"Littleton","6/17/1980","3/20/2008","Littleton","102 E South Main St, Littleton, NC 27850, USA"
988813,"Live Oak Church","Church","NC",37,"Brunswick",19,"335536N","0783745W",33.9265608,-78.6291805,NA,NA,NA,NA,11,36,"Longs","6/17/1980","","Calabash","1593-1599 Hickman Rd NW, Calabash, NC 28467, USA"
988815,"Live Oak Church","Church","NC",37,"Johnston",101,"353611N","0781753W",35.6029361,-78.2980547,NA,NA,NA,NA,67,220,"Selma","6/17/1980","","Selma","1555 Live Oak Church Rd, Selma, NC 27576, USA"
988820,"Living Home Church","Church","NC",37,"Orange",135,"361411N","0791920W",36.2365253,-79.3222425,NA,NA,NA,NA,199,653,"Burlington NE","6/17/1980","","Burlington","7873 NC-62, Burlington, NC 27217, USA"
988829,"Lockhart School","School","NC",37,"Wake",183,"354814N","0782907W",35.8037626,-78.4852786,NA,NA,NA,NA,90,295,"Knightdale","6/17/1980","","Knightdale","1320 N Smithfield Rd, Knightdale, NC 27545, USA"
